id,name,sex,height,weight,team
1,A Dijiang,M,180,80,China
2,A Lamusi,M,170,60,China
3,Gunnar Nielsen Aaby,M,0,0,Denmark
4,Edgar Lindenau Aabye,M,0,0,Denmark/Sweden
5,Christine Jacoba Aaftink,F,185,82,Netherlands
6,Per Knut Aaland,M,188,75,United States
7,John Aalberg,M,183,72,United States
8,"Cornelia ""Cor"" Aalten (-Strannood)",F,168,0,Netherlands
9,Antti Sami Aalto,M,186,96,Finland
10,"Einar Ferdinand ""Einari"" Aalto",M,0,0,Finland
11,Jorma Ilmari Aalto,M,182,76.5,Finland
12,Jyri Tapani Aalto,M,172,70,Finland
13,Minna Maarit Aalto,F,159,55.5,Finland
14,Pirjo Hannele Aalto (Mattila-),F,171,65,Finland
15,Arvo Ossian Aaltonen,M,0,0,Finland
16,Juhamatti Tapio Aaltonen,M,184,85,Finland
17,Paavo Johannes Aaltonen,M,175,64,Finland
18,Timo Antero Aaltonen,M,189,130,Finland
19,Win Valdemar Aaltonen,M,0,0,Finland
20,Kjetil Andr Aamodt,M,176,85,Norway
21,Ragnhild Margrethe Aamodt,F,163,0,Norway
22,Andreea Aanei,F,170,125,Romania
23,Fritz Aanes,M,187,89,Norway
24,Nils Egil Aaness,M,0,0,Norway
25,Alf Lied Aanning,M,0,0,Norway
26,Agnes Erika Aanonsen (-Eyde),F,169,65,Norway
27,Johan Aantjes,M,0,0,Netherlands
28,Jan-Erik Aarberg,M,170,77,Norway
29,Willemien Aardenburg,F,0,0,Netherlands
30,Pepijn Aardewijn,M,189,72,Netherlands
31,Evald rma (rman-),M,174,70,Estonia
32,Olav Augunson Aarnes,M,0,0,Norway
33,Mika Lauri Aarnikka,M,187,76,Finland
34,Jamale (Djamel-) Aarrass (Ahrass-),M,187,76,France
35,Dagfinn Sverre Aarskog,M,190,98,Norway
36,Stefan Remco Aartsen,M,194,78,Netherlands
37,Ann Kristin Aarnes,F,182,64,Norway
38,Karl Jan Aas,M,0,0,Norway
39,Lars Thorlaksn Aas,M,0,0,Norway
40,Roald Edgar Aas,M,0,0,Norway
41,Rolf Aas,M,0,0,Norway
42,Thomas Valentin Aas,M,0,0,Taifun
43,Morten Gjerdrum Aasen,M,185,75,Norway
44,Meelis Aasme,M,182,73,Estonia
45,Hakon Aasns,M,0,0,Norway
46,Hans Aasns,M,194,93,Norway
47,Erling Rudolf Aastad,M,177,74,Norway
48,Abdelhak Aatakni,M,0,64,Morocco
49,Moonika Aava,F,168,65,Estonia
50,Arvi Aavik,M,185,106,Estonia
51,Nstor Abad Sanjun,M,167,64,Spain
52,Patrick Abada,M,189,80,France
53,Talaat Abada,M,172,58,Egypt
54,Mohamed Jamshid Abadi,M,0,0,Iran
55,Antonio Abadia Beci,M,170,65,Spain
56,Ren Abadie,M,0,0,France
57,Borislav Abadzhiev,M,176,66,Bulgaria
58,Georgi Abadzhiev,M,0,0,Bulgaria
59,Ivan Nikolov Abadzhiev,M,164,71,Bulgaria
60,Mikhail Abadzhiev,M,172,75,Bulgaria
61,Stefan Abadzhiev,M,175,72,Bulgaria
62,Giovanni Abagnale,M,198,90,Italy
63,Jos Luis Abajo Gmez,M,194,87,Spain
64,M'Bairo Abakar,M,0,0,Chad
65,Patimat Abakarova,F,165,49,Azerbaijan
66,Mohamed Abakkar,M,156,48,Sudan
67,Mariya Vasilyevna Abakumova (-Tarabina),F,179,80,Russia
68,Pablo Martn Abal,M,178,76,Argentina
69,Tamara Abalde Daz,F,185,72,Spain
70,Jess Iory Aball Martnez,M,167,65,Cuba
71,Juan Antonio Aball Delgado,M,172,82,Cuba
72,Aleksey Aleksandrovich Abalmasov,M,180,83,Belarus
73,Luc Abalo,M,182,86,France
74,Mara Laura Abalo,F,182,73,Argentina
75,Giorgos Abalof,M,178,70,Greece
76,Jouan Patrice Abanda Etong,M,185,82,Cameroon
77,Antoine Abang,M,166,75,Cameroon
78,Salim Abanoz,M,0,0,Turkey
79,Carlos Abarca Gonzlez,M,0,0,Chile
80,Jos Mara Abarca Plotas,M,186,83,Spain
81,Georgios Abaris,M,190,77,Greece
82,Enrique Abaroa Martnez,M,183,75,Mexico
83,Carlos Arturo Abarza Chavez,M,0,0,Chile
84,Stephen Anthony Abas,M,165,55,United States
85,Alejandro Abascal Garca,M,181,82,Spain
86,Jos Manuel Abascal Gmez,M,182,67,Spain
87,Rost'om Omeris dze Abashidze,M,188,97,Soviet Union
88,Nunu Dzhansuhivna Abashydze (-Myslaieva),F,168,105,Soviet Union
89,Rodrigo Abasolo,M,0,0,Chile
90,Tamila Rashidovna Abasova,F,163,60,Russia
91,Emanuele Abate,M,190,80,Italy
92,Ignazio Abate,M,180,73,Italy
93,Jol Marc Abati,M,190,85,France
94,Ral Abatte,M,0,0,Chile
95,Georgia Abatzidou,F,155,43,Greece
96,Carlos Rodolfo Abaunza Balladares,M,168,60,Nicaragua
97,Carlos Alberto Abaunza,M,180,70,Nicaragua
98,Hctor Abaunza,M,169,75,Mexico
99,Pter Abay,M,181,79,Hungary
100,Oszkr Abay-Nemes,M,0,0,Hungary
101,Adeyemi Abayomi,M,170,51,Nigeria
102,Sayed Fahmy Abaza,M,0,0,Egypt
103,Silvano Abba,M,0,0,Italy
104,Gana Abba Kimet,M,0,0,Chad
105,Ilyas Abbadi,M,175,75,Algeria
106,Agostino Abbagnale,M,188,96,Italy
107,Carmine Abbagnale,M,182,90,Italy
108,Giuseppe Abbagnale,M,187,97,Italy
109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,176,64,Kuwait
110,Abubakar Abbas Abbas,M,175,66,Bahrain
111,Aqarab Abbas,M,190,88,Pakistan
112,Aziz Abbas,M,169,67,Iraq
113,Bassim Abbas Kati Al-Ogaili,M,175,80,Iraq
114,Essa Abbas Faleh Hashem,M,160,65,Kuwait
115,Ghulam Abbas,M,181,74,Pakistan
116,Hosni Mohamed Abbas,M,0,60,United Arab Republic
117,Maher Abbas,M,178,78,Lebanon
118,Mahmoud Abbas,M,165,65,Egypt
119,Mohamed Fakhry Rifaat Abbas,M,0,0,Egypt
120,Mohammed Abbas Sabih,M,170,70,Iraq
121,Muhammad Abbas,M,168,55,Pakistan
122,Nader Sufyan Abbas,M,173,77,Qatar
123,Sohail Abbas,M,178,80,Pakistan
124,Youssef Mohamed Abbas,M,0,0,Egypt
125,Zulkifli Abbas,M,170,62,Malaysia
126,Forough Abbasi,F,164,58,Iran
127,Shakeel Abbasi,M,165,60,Pakistan
128,Soulmaz Abbasi Azad,F,173,60,Iran
129,Ruslan Abbasov,M,181,74,Azerbaijan
130,Tural Abbasov,M,182,76,Azerbaijan
131,Tran Abbasova,F,159,53,Azerbaijan
132,Simona Abbate,F,171,64,Italy
133,Franz Abb,M,0,0,Germany
134,Christian Abbiati,M,192,90,Italy
135,Lois Abbingh,F,178,72,Netherlands
136,Alessandro Abbio,M,195,85,Italy
137,Giordano Giulio Abbondati,M,175,64,Italy
138,Salwan Jasim Abbood Abbood,M,180,104,Iraq
139,"George ""Ioannis"" Abbot",M,0,0,Thessalonki-1
140,"William ""Bill"" Abbott Jr.",M,172,80,Canada
141,Clare Abbott,F,167,58,Ireland
142,"David ""Dave"" Abbott",M,183,75,United States
143,"Desmond ""Des"" Abbott",M,184,87,Australia
144,Geoffrey Grant Abbott,M,179,80,South Africa
145,Jeremy Abbott,M,175,70,United States
146,Jeremy Abbott,M,179,71,Canada
147,Joanne Abbott,F,160,57,Canada
148,"Kathryn ""Katie"" Abbott",F,164,63,Canada
149,Mara Katherine Abbott,F,163,52,United States
150,Margaret Ives Abbott (-Dunne),F,0,0,United States
151,Mary Perkins Ives Abbott (Perkins-),F,0,0,United States
152,Matt Abbott,M,185,91,Canada
153,Monica Cecilia Abbott,F,191,88,United States
154,Khadija Abbouda,F,165,57,Morocco
155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,185,98,Egypt
156,Mahmoud Abd El-Kader,M,195,94,Egypt
157,Mohamed Ibrahim Abd El-Salam,M,192,83,Egypt
158,Noha Abd Rabo,F,0,0,Egypt
159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,167,60,Egypt
160,Ali Abdalla Afringi,M,163,57,Eritrea
161,Hossam Abdalla,M,203,97,Egypt
162,Hosam Abdallah,M,0,0,Egypt
163,Ismail Abdallah,M,0,0,United Arab Republic
164,Maged Abdallah,M,0,0,Egypt
165,Nia Nicole Abdallah,F,175,56,United States
166,Omari Abdallah,M,168,57,Tanzania
167,Ould Lamine Abdallah,M,0,0,France
168,Younis Abdallah Rabee,M,169,68,Kuwait
169,Raida Abdallah Bader,F,158,49,Jordan
170,Maha Abdalsalam Gouda,F,172,61,Egypt
171,Mahmoud Abdel Aziz,M,174,70,Egypt
172,Mohamed Abdel Ellah,M,168,68,Egypt
173,Mohamed Abdel Fatah,M,170,69,Sudan
174,Ali Mohamed Badawi Abdel Fattah Badawi,M,0,0,United Arab Republic
175,Abdelgani Hassan Abdel Fattah,M,0,0,Egypt
176,Mahmoud Atter Abdel Fattah,M,0,0,United Arab Republic
177,Mohamed Abdel Fattah,M,174,69,Egypt
178,Sayed Abdel Gadir,M,180,56,Sudan
179,Ibrahim Saad Abdel Galil,M,176,73,Sudan
180,Heba Abdel Gawad,F,154,48,Egypt
181,Sara Abdel Gawad,F,153,46,Egypt
182,Gamal Amin Abdel Ghani,M,0,0,Egypt
183,Abdel Sattar Abdel Hadj,M,0,0,United Arab Republic
184,Ragy Abdel Hady,M,186,100,Egypt
185,Osman Abdel Hafeez,M,0,0,Egypt
186,Mohamed Abdel Hafiz,M,0,0,United Arab Republic
187,Moustafa Ali Abdel Halim,M,152,52,Egypt
188,Mohamed Abdel Hamed,M,193,82,Egypt
189,Hwad Ibrahim Abdel Hamid Lumomba,M,162,57,Sudan
190,Ibrahim Abdel Hamid,M,0,0,Egypt
191,Tamer Mohamed Abdel Hamid,M,0,0,Egypt
192,Ahmed El-Sayed Abdel Hamid Mobarak,M,189,85,Egypt
193,Dorri Abdel Kader Said,M,0,0,Egypt
194,Moustafa Mounib Abdel Kader,M,176,67,United Arab Republic
195,Mohamed Ali Abdel Kerim,M,0,81,Egypt
196,Mohamed Abdel Khaled,M,183,76,Tunisia
197,Abdel Latif Abdel Latif,M,172,68,Egypt
198,Walid Abdel Maksoud,M,0,0,Egypt
199,Amir Abdel Meguid,M,178,67,Egypt
200,Mohamed Abdel Mohamed,M,0,0,Egypt
201,Karim Abdel Mohsen,M,188,92,Egypt
202,Awad Abdel Nabi Awad,M,198,80,Egypt
203,Ahmed Abdel Naeim,M,197,87,Egypt
204,Moustafa Abdel Naser,M,176,74,Libya
205,Ali Abdel Radi,M,0,0,Egypt
206,Amin Abdel Rahman,M,0,0,United Arab Republic
207,Mohamed Fathallah Abdel Rahman,M,0,0,Egypt
208,Fathi Ali Abdel Rahman,M,0,0,Egypt
209,Ibrahim Abdel Rahman,M,0,0,United Arab Republic
210,Khaled Abdel Rahman,M,188,79,Egypt
211,Sameh Abdel Rahman,M,0,0,United Arab Republic
212,Yasser Abdel Rahman Sakr,M,180,120,Egypt
213,Samy Abdel Razek,M,170,60,Egypt
214,Mohamed Youssef Abdel Razik,M,0,0,Egypt
215,Ibrahim Ahmed Abdel Rehim,M,190,83,Egypt
216,Kamal Abdel Rehim,M,190,95,Egypt
217,Reskalla Mohamed Abdel Rehim,M,165,48,Egypt
218,Ahmed Ali Abdel Samad,M,195,95,Egypt
219,Ali Abdel Sami,M,0,0,Egypt
220,Mohamed Abdel Sami,M,0,0,United Arab Republic
221,Sameh Abdel Waress Muhammad,M,0,0,Egypt
222,Mohamed Said Abdel Wehab,M,157,48,Egypt
223,Mahmoud Abdel-Aal,M,0,0,Egypt
224,Mohamed Abdel-El,M,0,0,Egypt
225,Shaimaa Abdel-Latif-Hashad,F,165,57,Egypt
226,Sanad Bushara Abdel-Nadif,M,0,0,Sudan
227,Ahmed Abdelaal,M,188,89,Egypt
228,Mahmoud Abdelaal,M,176,60,Egypt
229,Mohamed Ali Abdelaal,M,175,81,Egypt
230,Moustafa Abdelal,M,0,0,Egypt
231,Mahmod Abdelaly,M,0,0,Egypt
232,Ibrahim Ramadan Ibrahim Abdelbaki,M,173,77,Egypt
233,Aziza Abdelfattah,F,159,51,Egypt
234,Abdalla Abdelgadir El-Sheikh,M,170,58,Sudan
235,Magdi Abdelghani Sayed Ahmed,M,0,0,Egypt
236,Ragab Abdelhay Saad Abdelrazek Abdallah,M,170,94,Egypt
237,Ben Ahmed Abdelkrim,M,0,0,France
238,Mohamed Abdellah,M,170,70,Egypt
239,Ayoub Abdellaoui,M,184,68,Algeria
240,Leila Abdelmoez,F,160,46,Egypt
241,Sayed Abdelmonem Sayed Hamed,M,170,60,Egypt
242,Ahmed Abdelrahman,M,165,60,Egypt
243,Ihab Abdelrahman El-Sayed Abdelrahman,M,194,96,Egypt
244,Raouf Abdelraouf,M,167,63,Egypt
245,Abouelfetoh Abdelrazek,M,0,0,Egypt
246,Mamdouh Abdelrehim,M,207,90,Egypt
247,El-Hachemi Abdenouz,M,170,63,Algeria
248,Rda Abdenouz,M,170,63,Algeria
249,Mouni Abderrahim,F,173,60,Algeria
250,Saeid Morad Abdevali,M,170,80,Iran
251,Bashir Abdi,M,176,56,Belgium
252,Youcef Abdi,M,178,66,Australia
253,Jamal Abdi Hassan Abdullah,M,177,65,Qatar
254,Talal Omar Abdillahi,M,170,57,Djibouti
255,Mahmoud Ahmed Abdin,M,0,0,Egypt
256,"Abdihakim ""Abdi"" Abdirahman",M,178,61,United States
257,Ali Abdo,M,169,74,Australia
258,Hamza Abdo,M,0,0,Palestine
259,Reema Abdo,F,173,59,Canada
260,Ahmed Abdo Mustafa,M,0,0,Sudan
261,Nasrollah Abdollahi,M,183,75,Iran
262,Yhyacinthe Mewoli Abdon,M,176,60,Cameroon
263,Hassane Abdou,M,185,67,Comoros
264,Justin Abdou,M,175,85,Canada
265,Moustafa Ahmed Ismail Abdou Ali Arfah,M,0,0,Egypt
266,Raouf Abdou,M,165,60,Egypt
267,Mohamed Abdou El-Souad,M,180,76,Egypt
268,Brahim Daoud Abdoulaye,M,0,71,Chad
269,Fawziya Abdoulkarim,F,180,67,Cameroon
270,Alaa El-Din Abdoun,M,188,78,Egypt
271,Ibrahim Abdrabbou,M,0,0,Egypt
272,Berik Abdrakhmanov,M,165,60,Kazakhstan
273,Maizurah Abdul Rahim,F,147,50,Brunei
274,Mehdi Fahim Abdul Al-Sada,M,184,70,Iraq
275,Bashir Abdullah Abdul Aziz,M,180,73,Kuwait
276,Chairil Anwar Abdul Aziz,M,163,61,Malaysia
277,Shaimaa Abdul Aziz,F,160,53,Egypt
278,Mohamed Abdul Hadj,M,0,0,Malaysia
279,Jefri Kiko Bolkiah Abdul Hakeem,M,172,90,Brunei
280,Mohamed Abdul Hamid,M,175,55,Sudan
281,S. Abdul Hamid,M,0,0,India
282,Hadi Abdul Jabbar,M,180,117.5,Iraq
283,Mohamed Abed Abdul Jawad,M,169,65,Saudi Arabia
284,Anouar Abdul Kader,M,0,0,Syria
285,Talal Hassoun Abdul Kader,M,0,82,Iraq
286,Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,M,169,60,Kuwait
287,Taha Abdul Karim,M,156,59,Iraq
288,Masoud Abdul Khamis Al-Rahman,M,176,68,Qatar
289,Abdul Haji Abdul Latheef,M,168,54,Maldives
290,Fatima Abdul Majeed Hameed Al-Kirashi,F,0,0,Bahrain
291,Majed Ahmed Abdul Mohamed,M,172,70,Saudi Arabia
292,Firouz Abdul Mohammadian,M,178,74,Iran
293,Hussam Abdul Rahman,M,175,80,Jordan
294,Mohamed Ghulom Abdul Rahman,M,175,85,Bahrain
295,Suleman Abdul Rahman,M,174,55,Ethiopia
296,Zambrose Abdul Rahman,M,173,64,Malaysia
297,Lala Abdul Rashid,M,169,91,Pakistan
298,Muhammad Abdul Rashid,M,181,72,Pakistan
299,Dana Abdul Razak (Hussain-),F,163,56,Iraq
300,A. Abdul Razzak,M,178,70,Iraq
301,Mohamed Abdul Razzak,M,177,68,Iraq
302,Muhammad Abdul Razzaq,M,0,0,Pakistan
303,Hazim Abdul Ridha,M,160,52,Iraq
304,Rauf Abdul Seoud,M,0,0,Egypt
305,Samir Ahmed Abdul Shakour,M,180,72,Saudi Arabia
306,Nabil Abdul Tahlak,M,0,0,United Arab Emirates
307,Fahmi Ahmed Abdul Wahab Al-Tahri,M,0,0,North Yemen
308,Mohamed Abdul Wahab Al-Salah,M,0,0,Kuwait
309,Qazi Abdul Waheed,M,0,0,Pakistan
310,Patmawati Abdul Wahid,F,158,58,Indonesia
311,Haidar Abdul-Amir Hassan,M,185,80,Iraq
312,Haidar Abdul-Razzaq Hassan,M,175,75,Iraq
313,"Lawal Kolawole ""Kola"" Abdulai",M,172,66,Nigeria
314,"Rukayatu ""Ruky"" Abdulai",F,180,59,Canada
315,Mona Ahmad Abdulaziz Hassanein,F,166,61,Egypt
316,Zagalav Abdulbekovich Abdulbekov,M,160,62,Soviet Union
317,Roosevelt M. Abdulgafur,M,181,73,Philippines
318,Ahmed Abdulkareem Ahmed,M,0,0,Iraq
319,Gamal Ahmed Abdulla,M,0,0,Egypt
320,Mohamed Sayed Abdulla,M,0,0,Egypt
321,Ahmad Hassan Abdullah,M,164,55,Qatar
322,Ahmed Ghanim Abdullah,M,184,79,Egypt
323,Aquil Hashim Abdullah (Shumate-),M,187,83,United States
324,Atallah Abdullah,M,0,88,Iraq
325,Magdy Ahmed Abdullah,M,0,0,Egypt
326,Mohamed Abdullah,M,176,66,United Arab Emirates
327,Mohamed Samy Abdullah,M,165,65,United Arab Emirates
328,Mohamed Abdullah,M,180,76,Iraq
329,Osama Abdullah,M,0,0,Kuwait
330,Tewfik Abdullah,M,0,0,Egypt
331,Wan Azlan Abdullah,M,188,77,Malaysia
332,Zarinah Abdullah,F,0,0,Singapore
333,Abdel Wahab Abdullah Salih,M,190,75,Sudan
334,Abubakar Sadiq Abdullahi,M,0,0,Nigeria
335,Abdulqdir Abdullayev,M,188,91,Azerbaijan
336,Arif Yadulla Abdullayev,M,164,60,Azerbaijan
337,Mukhammad Kadyr Abdullayev,M,169,63,Uzbekistan
338,Muminzhon Abdullayev,M,190,130,Uzbekistan
339,Namiq Yadulla Abdullayev,M,167,55,Azerbaijan
340,Laye Abdullayeva,F,170,47,Azerbaijan
341,lqar Abdulov,M,175,74,Azerbaijan
342,Abdullah Abdulrahman Zeyab,M,177,0,Kuwait
343,Abir Abdulrahman Khalil Mahmoud Khalil,F,162,72,Egypt
344,Amer Abdulrahman Abdallah Hussain Al-Hammadi,M,168,68,United Arab Emirates
345,Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi,M,168,62,United Arab Emirates
346,Shaza Yahia Nazih Abdulrahman El-Sayed,F,170,59,Egypt
347,Najim Abdulrazak Al-Enazy,M,150,60,Kuwait
348,Zeyad Abdulrazak Al-Khudhur Al-Enazy,M,181,66,Kuwait
349,Waheed Abdulridha Waheed Karaawi,M,178,74,Iraq
350,Mohamed Abdultwab Ibrahim Abd El-Baki,M,162,69,Egypt
351,Julius Shareef Abdur-Rahim,M,202,104,United States
352,Sherzod Abdurahmonov,M,178,73,Uzbekistan
353,Rasul Abduraim,M,183,74,Kyrgyzstan
354,Bekzod Makhamadzhonovich Abdurakhmonov,M,172,74,Uzbekistan
355,Mukhamadmurod Abdurakhmonov,M,192,117,Tajikistan
356,Adlan Aliyevich Abdurashidov,M,172,60,Russia
357,Yusup Abdusalomov,M,170,84,Tajikistan
358,Fawzi Abdussalam,M,179,76,Libya
359,Andrey Khakimovich Abduvaliyev,M,190,125,Unified Team
360,Dzhamolidin Mirgarifanovich Abduzhaparov,M,174,72,Soviet Union
361,Aybek Abdymomunov,M,162,54,Kyrgyzstan
362,Isao Ko Abe,M,177,75,Japan
363,Kazumi Abe,M,178,67,Japan-1
364,Kazuo Abe,M,166,69,Japan
365,Kinya Abe,M,168,68,Japan
366,Kiyoshi Abe,M,167,62,Japan
367,Masashi Abe,M,175,64,Japan
368,Naoki Abe,M,173,68,Japan
369,Osamu Abe,M,0,0,Japan
370,Shigeaki Abe,M,178,70,Japan
371,Shinnosuke Abe,M,179,91,Japan
372,"Sanshiro ""Sonny"" Abe",M,166,57,Japan
373,Tadashi Abe,M,190,80,Japan
374,Tadatoshi Abe,M,170,60,Japan
375,Wakako Abe,F,168,60,Japan
376,Yoshiyuki Abe,M,175,67,Japan
377,Yuki Abe,M,177,75,Japan
378,Angelik Abebame,F,0,0,Congo (Brazzaville)
379,Addis Abebe,M,160,50,Ethiopia
380,Biruk Abebe,M,173,62,Ethiopia
381,Benaissa Abed,M,170,51,Algeria
382,Soha Abed Elaal,F,0,0,Egypt
383,Mojtaba Abedini Shormasti,M,180,83,Iran
384,Thophile Abega Mbida,M,0,0,Cameroon
385,"Max ""Xam"" Abegglen",M,0,0,Switzerland
386,Alexandre Abeid,M,194,92,Brazil
387,Sonia Abejn Esteban,F,169,48,Spain
388,Abel Carlos da Silva Braga,M,190,73,Brazil
389,Adolf Gaston Abel,M,0,0,Germany
390,Brooke Abel,F,163,52,United States
391,Clarence John Abel,M,185,102,United States
392,George Gordon Abel,M,0,0,Canada
393,Gnther Abel,M,183,80,West Germany
394,Irene Abel,F,160,48,East Germany
395,Jennifer Abel,F,160,62,Canada
396,Katja Abel,F,165,55,Germany
397,Mara Abel Diguez,F,163,46,Spain
398,Roger Abel,M,0,0,Monaco
399,Egil Sten Abel,M,0,0,Fornebo
400,Yaritza Abel Rojas,F,0,62,Cuba
401,Abelardo Fernndez Antua,M,0,0,Spain
402,Arthur Abele,M,184,85,Germany
403,Ruth Abeles,F,153,48,Israel
404,"Louis Grenville ""Lou"" Abell",M,0,0,Vesper Boat Club
405,Jos Javier Abella Fanjul,M,176,66,Mexico
406,Ramn Neptuno Abella Caside,M,0,0,Uruguay
407,Ral Daniel Abella,M,0,0,Argentina
408,Alfonso Abelln Lpez,M,174,63,Spain
409,Juan Luis Abelln Pallahi,M,0,0,Spain
410,Edwige Marie Abna Fouda,F,173,61,Cameroon
411,Gezahgne Abera,M,166,58,Ethiopia
412,Tesfaye Abera Dibaba,M,192,68,Ethiopia
413,Hugo Ral Aberastegui,M,186,84,Argentina
414,Arvid berg,M,0,0,Sweden
415,Bjrn Olof Conny berg,M,181,76,Sweden
416,Nils Georg berg,M,181,78,Sweden
417,Sara Helena berg,F,190,73,Sweden
418,Karl Konrad berg,M,0,0,Finland
419,Majken berg,F,170,60,Sweden
420,"Olof Viktor ""Olle"" berg",M,181,78,Sweden
421,Mohamed Aberhoune,M,187,75,Morocco
422,"Julianne ""Anne"" Abernathy",F,165,75,United States Virgin Islands
423,Michael Brent Abernathy,M,182,84,United States
424,Moira Abernethy (-Ford),F,0,0,South Africa
425,Salim Abes,M,0,0,Algeria
426,Edme Abetel (-Barr),F,0,0,Switzerland
427,Pasqualino Abeti,M,173,66,Italy
428,Elvan Abeylegesse,F,159,40,Turkey
429,Ruwani Abeymanne,F,160,53,Sri Lanka
430,Matthew Duncan Abeysinghe,M,180,74,Sri Lanka
431,Narek Abgaryan,M,166,52,Armenia
432,Koutoua Francis Abia,M,180,80,Cote d'Ivoire
433,Pablo Abin Vicen,M,177,68,Spain
434,David Abibssira,M,179,63,France
435,Silke Abicht,F,156,46,East Germany
436,Haithem Abid,M,179,72,Tunisia
437,Younis Abid Sadkhan,M,0,0,Iraq
438,Jaiye Abidoye,M,0,0,Nigeria
439,Sagat Abikeyeva,F,160,78,Kazakhstan
440,Mitsuhiro Abiko,M,169,62,Japan
441,Tomomi Abiko,F,173,53,Japan
442,"Catherine ""Kate"" Abilla Awino",F,162,56,Kenya
443,Ismail Abilov (-Nizamolu),M,172,82,Bulgaria
444,Camille Anne Franoise Abily,F,168,60,France
445,Endurance Abinuwa,F,159,54,Nigeria
446,Bode Abiodun,M,170,68,Nigeria
447,Firmin Abissi,M,159,54,Benin
448,Sarah Abitbol,F,150,43,France-1
449,Inga Eduardovna Abitova,F,164,58,Russia
450,Ceyhun Abiyev,M,163,48,Azerbaijan
451,Diana Monteiro Abla,F,175,75,Brazil
452,Enver Nazymovych Ablaiev,M,169,68,Ukraine
453,Leslie Ablett,M,0,0,Great Britain
454,"Edgar Allen ""Ed"" Ablowich",M,182,68,United States
455,Denis Mikhaylovich Ablyazin,M,161,62,Russia
456,Karin Abma,F,174,62,Netherlands
457,Thorine Christelle Aboa Mbeza,F,182,78,Cameroon
458,Felix Ahmed Aboagye,M,176,70,Ghana
459,Bukola Dammy Abogunloko,F,170,53,Nigeria
460,Viktor Andreyevich Aboimov,M,190,78,Soviet Union
461,Mohamed Aboker,M,175,61,Somalia
462,Ilze bola,F,169,60,Latvia
463,Agnese boltia,F,166,60,Latvia
464,Abdul Razzak Aboobakur,M,168,59,Maldives
465,"Matthew ""Matt"" Abood",M,197,92,Australia
466,Piroska Abos Gvorgyzakab,F,0,0,Spain
467,Jean-Pierre Abossolo-Ze,M,0,0,Cameroon
468,Abdelhalim Muhammad Abou,M,210,88,Egypt
469,Tarek Abou Al Dahab,M,170,64,Lebanon
470,Bachir Hani Abou Assi,M,175,74,Lebanon
471,Ashraf Abou El-Hassan,M,186,86,Egypt
472,Galal El-Din Abdel Meguid Abou El-Kheir,M,0,0,Egypt
473,Magdy Abou El-Magd,M,188,85,Egypt
474,Essameldin Abou El-Nein,M,205,102,Egypt
475,Abdel Khlik Abou El-Yazi,M,0,0,Egypt
476,Mohamed Moustafa Abou Elea,M,168,54,Egypt
477,Mahmoud Abou Elelaa,M,181,76,Egypt
478,Mohammed Tawfiq Abou Habaga,M,0,0,Egypt
479,Zaid Abou Hamed,M,182,79,Syria
480,Youssef Kamel Mohamed Abou Ouf,M,0,0,Egypt
481,Gaber Mooti Abou Zeid,M,187,82,Egypt
482,Taher Abou Zeid Sayid Amer,M,0,0,Egypt
483,Ahmed Farid Abou-Shadi,M,0,0,Egypt
484,Abdel Fattah Abou-Shanab,M,0,0,United Arab Republic
485,Sadoon Mohamed Aboub,M,170,48,Iraq
486,Zakaria Aboub,M,171,65,Morocco
487,Inni Aboubacar,M,0,0,Niger
488,Ibrahim Mohamedin Aboubaker,M,190,65,Qatar
489,Ahmed Ghmin Aboud,M,170,51,Iraq
490,Fathi Khalifa Aboud,M,175,75,Libya
491,Kamel Aboud,M,178,67,Algeria
492,Marwan Suhail Aboud,M,0,0,Iraq
493,Rabah Aboud,M,180,64,Algeria
494,Mamdouh Taha Al-Husseini Abouebaid,M,183,85,Egypt
495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,188,87,Egypt
496,Haysam Farouk Abouelw,M,0,0,Egypt
497,Waguih Rauf Aboul Seoud,M,0,0,Egypt
498,El-Sayed Aboumedan,M,178,81,Egypt
499,Dany Abounaoum,M,0,0,Lebanon
500,Sdonoud Janvier Abouta,M,0,0,Mali
501,Mohamed Mohamed Mohamed Aboutrika,M,182,77,Egypt
502,Ahmad Shah Abouwi,M,0,0,Afghanistan
503,Adeola Aboyade-Cole,M,193,78,Nigeria
504,Cheryl Abplanalp,F,174,68,United States
505,"Alexander ""Alex"" Abraham (Steglitz)",M,186,84,Germany
506,Andrei Abraham,M,0,0,Romania
507,Attila brahm,M,192,88,Hungary
508,Bernhard Abraham,M,0,0,Germany
509,Gary Abraham,M,175,64,Great Britain
510,Melita Isidora Abraham Schssler,F,170,62,Chile
511,Tadesse Abraham,M,178,61,Switzerland
512,Shiny Kurisingal Abraham-Wilson,F,167,53,India
513,Mariola Teresa Abrahamczyk (-Fronckowiak),F,180,70,Poland
514,Ara Abrahamian,M,191,84,Sweden
515,Stphan Abrahamian Gonzalez,M,0,0,France
516,Clyde Abrahams,M,178,68,South Africa
